bench,CRuby 3.4.7 (ms),CRuby 3.4.7 RSD,CRuby 4.1.0dev (ms),CRuby 4.1.0dev RSD,YJIT 3.4.7 (ms),YJIT 3.4.7 RSD,YJIT 4.1.0dev (ms),YJIT 4.1.0dev RSD,CRuby 4.1.0dev spd,CRuby 4.1.0dev spd RSD,YJIT 3.4.7 spd,YJIT 3.4.7 spd RSD,YJIT 4.1.0dev spd,YJIT 4.1.0dev spd RSD,% in YJIT
activerecord,316.0367673778536,0.07069970511444666,299.8991542917035,0.061841690254041376,120.18219430998215,0.185099368668154,107.12794736530708,0.13278529469926664,1.0538101320234252,0.09392998965584161,2.6296471718823,0.19814193040499756,2.950087023511857,0.1504339815056452,99.93510212256281
chunky-png,830.3332410000621,0.09694762555700444,854.7417451936194,0.11721278405681779,360.6755970589909,0.18762676157607708,392.9485513703252,0.12456859212848928,0.9714434162940899,0.15211074533868849,2.3021608552692174,0.21119338001146537,2.1130838581907225,0.15784858645554944,99.99736132154115
erubi-rails,1514.032369867103,0.0963919536469055,1455.8158161876236,0.025694532815195084,689.5825647000493,0.08726609322501076,599.1907196992543,0.038150288535824105,1.0399889553555837,0.09975779540696715,2.1955780893701515,0.13002607336462732,2.5267954260490315,0.10366703064732688,99.61315517959929
hexapdf,2757.8967165001814,0.8247459036156313,2739.92544859957,0.5521618726719706,1451.8477560000065,1.9685044270864438,1351.5769099001773,2.9771496565848654,1.0065590353598113,0.9925162664477503,1.8995770769371008,2.1342950791747826,2.0405029830702492,3.08927594805549,97.69579631516447
liquid-c,70.53204285043249,0.5812618125579245,69.39424137851802,0.41647506808799256,44.556658284575235,0.6883879705937903,43.866489479459915,0.688257214216562,1.0163961944004578,0.7150641768939497,1.582974252690972,0.9009679754554881,1.6078798118426705,0.9008680745032907,99.78716163475856
liquid-compile,73.43205981184684,0.49492550467736496,63.93513173492434,3.293606448795862,47.349711017122466,2.105867885547047,39.54694401562103,5.4783029982448745,1.148540056448102,3.3305847376594144,1.5508449414885035,2.163245433731119,1.856832724744577,5.5006140562448955,99.94362327944104
liquid-render,171.12182022225298,0.20640331346417426,170.3926332280623,0.3259631987913704,62.2470304363005,0.5576572104270989,60.91143186196398,0.6199036698263642,1.0042794514080589,0.38581645218327937,2.7490760446374667,0.5946292055981811,2.809354746577705,0.6533627535092463,99.90355354039434
lobsters,1229.4935056999748,0.5567723451177392,1200.9254577500087,1.5445838853020086,727.7398348001043,0.9129060726803244,697.7342862002843,0.46001831658171666,1.0237883606893383,1.6418693075341155,1.6894684706076208,1.0692955353056144,1.7621228166893455,0.7222273159321678,99.50550177856849
mail,150.71046356196976,0.27865250495057936,147.12020798998222,1.2036680625328022,97.9569825432245,0.3912893206009782,88.59806777546397,1.8145182437739789,1.0244035514973715,1.2355015270232177,1.5385372195950122,0.48036918191283645,1.701058130792633,1.8357896599294365,99.87409083324088
psych-load,2388.8282023996,0.034507532354898215,2446.5013322998857,2.0937757687742318,1417.6707219994569,0.014019641420311224,1478.3697410006425,1.861145691215943,0.9764262830602798,2.0940601089021658,1.6850374105423016,0.03724674663347731,1.6158530144040344,1.8614655660852002,99.99778546248247
railsbench,3094.207937600004,0.027242968229729107,3044.8603664000984,0.11476182630813093,1571.486894500049,0.13247803980655207,1385.4996272999415,0.25667686195169215,1.0162068421082469,0.1179510750080034,1.9689683372029594,0.13525017689065114,2.2332795163792207,0.25811855954063834,99.71288514771763
rubocop,187.03288168828956,0.6059509300873371,184.28392674358736,1.5222558593458413,95.02103197978852,1.0353832647783587,92.748534162739,0.8929744405877283,1.0149169544695404,1.638425900364876,1.968331408230469,1.1996645508877894,2.0165588963391787,1.0791570234292482,99.57107469955172
