bench,CRuby 3.3.6 mem (MiB),CRuby 3.5.0dev mem (MiB),YJIT 3.3.6 mem (MiB),YJIT 3.5.0dev mem (MiB),Inline Code,Outlined Code,YJIT Mem overhead
activerecord,55.9609375,66.81640625,67.6640625,78.81640625,3,3
chunky-png,48.5703125,57.984375,62.2109375,63.703125,1,1
erubi-rails,100.26171875,118.53125,113.00390625,133.4921875,4,3
hexapdf,125.7734375,229.875,256.41015625,240.80078125,3,2
liquid-c,28.41015625,32.8671875,31.34765625,37.19921875,1,1
liquid-compile,24.41796875,34.59375,27.8046875,39.0625,1,1
liquid-render,26.71484375,28.953125,32.45703125,34.73828125,2,1
lobsters,287.79296875,299.16796875,319.39453125,348.26953125,15,11
mail,43.76953125,56.6875,48.4140625,55.09765625,2,2
psych-load,27.48828125,27.91796875,29.56640625,29.5625,1,1
railsbench,97.96484375,110.26171875,116.6640625,144.984375,6,5
rubocop,86.09765625,90.55078125,123.296875,138.4765625,12,8
ruby-lsp,69.70703125,74.77734375,66.80859375,82.06640625,2,2
sequel,29.36328125,32.0078125,31.84765625,36.51171875,1,1
shipit,147.25390625,163.1640625,222.30078125,236.91015625,14,10
binarytrees,18.37109375,22.078125,18.5234375,18.98046875,1,1
blurhash,13.3671875,15.2109375,13.82421875,15.86328125,1,1
erubi,21.0078125,43.1484375,22.07421875,30.7890625,1,1
etanni,15.37890625,19.2734375,15.55859375,17.40625,1,1
fannkuchredux,12.1796875,13.83984375,12.44921875,14.31640625,1,1
fluentd,183.01171875,210.53125,190.9296875,230.13671875,1,1
graphql,21.28125,25.7890625,30.79296875,33.3828125,1,1
graphql-native,23.00390625,29.234375,26.19921875,32.5703125,1,1
lee,26.01953125,33.296875,24.26953125,33.328125,1,1
matmul,19.578125,18.2109375,19.6875,18.5703125,1,1
nbody,12.3125,13.859375,12.53515625,14.31640625,1,1
nqueens,12.78125,14.8359375,12.984375,15.43359375,1,1
optcarrot,53.56640625,49.07421875,59.51953125,51.1171875,1,1
protoboeuf,26.73046875,32.828125,32.546875,29.06640625,1,1
protoboeuf-encode,56.625,80.67578125,63.69921875,70.4609375,1,1
rack,22.515625,25.6015625,24.171875,28.33203125,1,1
ruby-json,12.8359375,14.77734375,13.078125,15.21875,1,1
rubyboy,43.76171875,30.5234375,64.8828125,45.25,2,1
rubykon,17.4140625,21.4765625,18.08203125,22.30859375,1,1
sudoku,12.51171875,13.96875,12.70703125,14.48828125,1,1
tinygql,18.96484375,23.59765625,20.98046875,25.97265625,1,1
30k_ifelse,51.9453125,115.2421875,86.5859375,130.58984375,11,10
30k_methods,41.21484375,55.53515625,51.68359375,59.3359375,4,3
attr_accessor,12.28125,13.8359375,12.5546875,14.25390625,1,1
cfunc_itself,12.34375,13.90234375,12.55078125,14.25,1,1
fib,12.28515625,13.83984375,12.55078125,14.23828125,1,1
getivar,12.3125,13.8984375,12.53125,14.25390625,1,1
keyword_args,12.28515625,13.828125,12.5546875,14.23828125,1,1
loops-times,14.2734375,16.51171875,15.80859375,21.7265625,1,1
object-new,12.46484375,13.8984375,12.546875,14.23828125,1,1
respond_to,12.22265625,13.828125,12.53515625,14.26953125,1,1
ruby-xor,13.4140625,15.0234375,13.4921875,15.3828125,1,1
setivar,12.41015625,13.8984375,12.55078125,14.234375,1,1
setivar_object,12.29296875,13.890625,12.4921875,14.30078125,1,1
setivar_young,12.34765625,13.90625,12.59375,14.3046875,1,1
str_concat,38.53515625,40.29296875,38.953125,40.69921875,1,1
throw,12.4765625,13.90234375,12.55078125,14.234375,1,1
