bench,CRuby 3.4.7 (ms),CRuby 3.4.7 RSD,CRuby 4.1.0dev (ms),CRuby 4.1.0dev RSD,YJIT 3.4.7 (ms),YJIT 3.4.7 RSD,YJIT 4.1.0dev (ms),YJIT 4.1.0dev RSD,CRuby 4.1.0dev spd,CRuby 4.1.0dev spd RSD,YJIT 3.4.7 spd,YJIT 3.4.7 spd RSD,YJIT 4.1.0dev spd,YJIT 4.1.0dev spd RSD,% in YJIT
activerecord,305.6073224041784,0.07758668627481648,298.462271729439,0.07001727938888805,124.15911982795554,0.1936408344452371,115.3582088952741,1.0000771487687674,1.023939543960908,0.1045089149313512,2.4614166307529524,0.20860600818709543,2.649203080828158,1.0030822485601936,99.93462817265325
chunky-png,832.6483464062449,0.08851648567425627,857.9117810335447,0.23934159703059604,361.42294675797035,0.21208158708702685,407.9703255829372,0.57584271994454,0.9705524097164577,0.2551853606797949,2.303805980985026,0.2298124622762503,2.0409532120173135,0.5826062189414447,99.99732907158216
erubi-rails,1543.300861666891,0.04341193973649898,1503.1707270005427,0.8467241875607722,691.5598265004519,0.11026818873585971,642.2577001003447,2.3312848997732494,1.0266969905317573,0.847836332267104,2.2316230679225013,0.11850599123577085,2.402930881834145,2.3316890616937878,99.6137871819809
hexapdf,2725.764305100165,0.7088935341460927,2637.2464520001813,0.4669247585778367,1473.2830357992498,2.5550817279607316,1404.5250447998114,0.4072230657098171,1.033564497937934,0.8488514433792927,1.8501294312544971,2.651598136843692,1.9407018160282583,0.8175332825030669,99.76009022449699
liquid-c,70.70191445707765,0.6151805030080038,66.91422458019953,5.164292404444035,44.966224887954695,0.8473105980100236,41.71896398494593,9.025293342518744,1.0566051523519997,5.200804081089725,1.5723337823722197,1.0470827573698671,1.6947188449499864,9.04623496100971,99.78798990364177
liquid-compile,71.22192050838385,0.3056540325502921,57.61078864076622,5.145525041948135,47.61072814336128,3.5438906847854987,33.73979181776058,7.885566337512892,1.2362601205217,5.15459526490001,1.4959216816413015,3.557047311088747,2.110917604147537,7.891487873077595,99.95623984620651
liquid-il,424.2325649543504,0.09702526752365016,411.57414748541294,0.47297654695686686,181.02635182778363,0.17348530507323282,172.1356823226591,0.3205371718173238,1.030756104449894,0.4828257620604738,2.3434851372243135,0.19877387558325804,2.4645242591779963,0.33489995678513373,98.368614672451
liquid-render,171.52836837051248,0.16785967053422776,171.16898105842128,1.842481241838091,61.77412538394304,0.8416621473561474,58.446123859042345,5.789753813245753,1.0020996053716564,1.8501118872968447,2.776702499702212,0.8582377521899283,2.9348117042662514,5.792186641242286,99.90349409846293
lobsters,1226.1425011001847,0.5753117557462019,1178.7588954761998,2.3196663642804,724.200358500002,1.1656725152325593,706.3776940001844,4.622596105729922,1.0401978774504541,2.3899446976600998,1.6930984453526494,1.2999138544797415,1.7358171294404783,4.6582591569178735,99.5104583086204
mail,151.1892267358494,0.15066225277510245,141.15403786471455,1.4788090146195045,98.3323039128498,0.32550215831755025,87.71309015275759,2.2486065490176785,1.071093884545852,1.4864639975899783,1.537533655977854,0.35867920134941256,1.7236791734568275,2.2536482704043372,99.87473810538063
