bench,CRuby 3.4.7 (ms),CRuby 3.4.7 RSD,CRuby 4.1.0dev (ms),CRuby 4.1.0dev RSD,YJIT 3.4.7 (ms),YJIT 3.4.7 RSD,YJIT 4.1.0dev (ms),YJIT 4.1.0dev RSD,CRuby 4.1.0dev spd,CRuby 4.1.0dev spd RSD,YJIT 3.4.7 spd,YJIT 3.4.7 spd RSD,YJIT 4.1.0dev spd,YJIT 4.1.0dev spd RSD,% in YJIT
activerecord,242.61753278152668,0.04867059559693901,221.58615665634656,0.06286620075800697,112.25018861289834,0.1420674963044995,104.79795391294591,7.227701176908807,1.0949128611756973,0.07950462925834455,2.161399778295323,0.1501732345725754,2.315097993068313,7.22786504644108,99.94493147457285
chunky-png,704.7880418157499,0.046273515283244936,727.7009847032762,0.09425468598527412,304.2348021836748,0.1462933406772413,316.73592555550084,0.07651532232974174,0.9685132446304588,0.10500087640992017,2.3165924370159674,0.1534372175946113,2.2251597780696075,0.08941942052984339,99.99736007965973
erubi-rails,943.9619930743464,0.09611667685329385,864.8283204667678,0.1418660104596938,605.5365308002365,0.09025745791852602,562.7345748999687,4.5465234576064555,1.0915021753275476,0.1713603819237996,1.55888529437996,0.13185152361362765,1.6774551185914681,4.54753933090579,99.61314286160251
hexapdf,2087.630543499472,1.089307102314143,1935.0456140908302,1.5104980354065327,1215.419011099948,2.7240324346283784,1136.199369599126,3.8494898548308836,1.0788534018513734,1.8623088568008879,1.717622091175106,2.9337591359993147,1.8373804803606169,4.000645211162561,97.30260911878234
liquid-c,43.83603763378554,0.5640917493573292,42.98037773737915,6.953768626073183,33.524709671801666,0.7595957754041861,32.236379638951114,10.359915599215814,1.0199081520789484,6.976610753557398,1.3075739674684475,0.9461422956960008,1.3598312876554721,10.375261477407118,99.79548999581525
liquid-compile,44.31477916669532,2.172590931208007,37.005828340331405,8.139381575382744,34.6131273983242,3.861192842703636,27.124861428090387,8.491754613459056,1.1975080995119392,8.424350644651927,1.280288217147371,4.430458387448534,1.6337329237303726,8.765275110889014,99.95158962898361
liquid-render,120.76404168862506,0.27841550701313394,118.53459691924546,2.2828434933769683,50.97186780852041,0.5817320353180669,49.21095430466765,6.298054042662091,1.0188083886673058,2.299758598157411,2.3692292804000066,0.6449243021166757,2.4540073118876826,6.304204939469979,99.9086406670034
lobsters,833.280469967811,0.6987866507448347,820.0486898749659,0.44215370521121655,590.2021572001104,1.1997955022448086,566.7634325000108,0.6359431524745771,1.016135359102717,0.8269236254281233,1.4118560222159335,1.3884567081713626,1.4702438833997906,0.944842037823512,99.51753806757596
mail,105.24242000013017,0.2309343877460216,102.30431287842774,2.8885145756852704,72.7686945833486,0.3614786265268839,68.62541870233042,4.707833738406207,1.0287192889433108,2.897731379094668,1.4462595571174697,0.4289492847405067,1.5335778198546173,4.71349437253503,99.88401565635446
psych-load,2007.2025735007628,0.06549649144190207,1868.3745254999546,0.939792901270725,1116.7924850993586,0.0920427293998525,1106.2126126002113,1.3480410087660517,1.0743041858610545,0.9420724428991891,1.7972923352203487,0.1129674927869678,1.8144817285916917,1.349631190994856,99.99777742864886
