bench,CRuby 3.4.7 (ms),CRuby 3.4.7 RSD,CRuby 4.1.0dev (ms),CRuby 4.1.0dev RSD,YJIT 3.4.7 (ms),YJIT 3.4.7 RSD,YJIT 4.1.0dev (ms),YJIT 4.1.0dev RSD,CRuby 4.1.0dev spd,CRuby 4.1.0dev spd RSD,YJIT 3.4.7 spd,YJIT 3.4.7 spd RSD,YJIT 4.1.0dev spd,YJIT 4.1.0dev spd RSD,% in YJIT
activerecord,317.3700040114151,0.058702195899706676,289.0270923334438,0.27174800990928333,124.23866286911759,0.08905019672820412,103.87986839918422,0.6386014640347226,1.0980631658061755,0.2780160583367506,2.55451883240048,0.1066577954993417,3.05516370883184,0.6412938309938266,99.93539588722848
chunky-png,837.9126568712132,0.14985146615734063,813.5367277187129,0.1800682343098149,363.2246829393725,0.22177530427286407,384.2210770000228,0.16771079879108777,1.0299629117186317,0.2342648734167353,2.3068714661417244,0.2676560245816,2.18080867247989,0.22490525547583218,99.99737066213136
erubi-rails,1495.8690660666132,0.08529137824563081,1469.82104337485,0.030117043320168776,670.40907039991,0.14744942669408662,610.1798780000308,0.1220914904367479,1.0177219007777671,0.09045250411894734,2.231278083952985,0.17034069577013616,2.451521461129758,0.14893270708647502,99.61320686479375
hexapdf,2720.691061600064,0.8691067471949565,2605.325721200643,0.7686274680135421,1451.5893731000688,1.9565676777492103,1297.8389988000345,2.0605234500502374,1.0442805824471943,1.1602304609881204,1.8742842239122033,2.1409118654519004,2.096324015625652,2.2363146974937878,97.93414116125744
liquid-c,70.54022908070559,0.6139399081384345,68.79860567512883,0.4660480267503092,44.2746474393073,0.6441639151365843,43.34998723903425,1.0738315581097657,1.0253148067244386,0.7707937298933394,1.593242028124645,0.8898704177402023,1.6272260633375237,1.2369464119344364,99.78752284324491
liquid-compile,70.97935814832697,2.3875074989179383,61.47513196894888,2.207276523156487,47.35898167867466,3.098908086535072,37.80231598236629,1.2248971892768434,1.1546027779847414,3.2515014542618887,1.4987517812336821,3.9119590215366333,1.877645755393316,2.683386886322526,99.94851341226526
liquid-render,170.75257754971207,0.21111201564375828,167.77506266674303,0.15143981927384634,64.87545437870793,0.48515596930468824,60.23363724834455,0.5495816644358364,1.0177470646450204,0.2598120513195369,2.632005882424354,0.5290979093713583,2.8348375650252633,0.5887344809277224,99.90358050086382
lobsters,1227.7180415492694,0.659713273117193,1199.6424189000663,0.3591902181306915,722.073890899992,0.9309581414619138,692.593197899987,0.6059885326145202,1.0234033260302227,0.7511585821434604,1.7002664921439594,1.1410103697518357,1.772639473318299,0.8957922216604136,99.50318847974795
mail,150.58229295884547,0.15585593479572488,147.57890811610324,0.5672987776546242,98.12305270076656,0.41487706472631525,91.28638296739234,0.712038161539653,1.0203510439335912,0.5883187703443432,1.534627070949955,0.44318624893713976,1.6495592010983033,0.7288960254383463,99.87406128906535
psych-load,2405.6064949996653,0.023542514978549076,2366.102468299505,2.8598180459331575,1417.9714809999496,0.02061190284466732,1451.4005131004524,2.892950112960998,1.0166958224461646,2.8599149473116254,1.696512607787597,0.031290582455320515,1.6574380905108388,2.893045904594769,99.99780671028189
