bench,CRuby 3.3.6 (ms),CRuby 3.3.6 RSD,CRuby 3.5.0dev (ms),CRuby 3.5.0dev RSD,YJIT 3.3.6 (ms),YJIT 3.3.6 RSD,YJIT 3.5.0dev (ms),YJIT 3.5.0dev RSD,CRuby 3.5.0dev spd,CRuby 3.5.0dev spd RSD,YJIT 3.3.6 spd,YJIT 3.3.6 spd RSD,YJIT 3.5.0dev spd,YJIT 3.5.0dev spd RSD,% in YJIT
activerecord,341.1802853735212,0.07690320091666879,332.37982220943684,0.33986047364835253,133.03998744000896,0.08996874023984955,110.51858368325786,1.1356564427459586,1.0264771282010587,0.34845264220509514,2.5644942692689887,0.1183574101253278,3.087085212305391,1.1382572900103185,99.94366612740005
chunky-png,852.9406777745481,0.08656785866155776,826.2369976874311,0.14456428097200127,468.7512987142749,0.11754042705211734,387.41647799997736,0.16001097088435542,1.0323196372976016,0.16850170766552836,1.8196017378811657,0.14597858111668835,2.2016117697879594,0.181927196857978,99.9974693767534
erubi-rails,1514.3049989334638,0.05042870772400951,1503.9647577331682,0.0629296345342245,657.8027222007222,0.07911671066866319,639.6825569005159,0.1441920262201624,1.006875321477533,0.08064238008221629,2.3020655704604827,0.09382168443245165,2.3672757410656895,0.1527559982069103,99.60894147342135
hexapdf,2785.8983237003486,0.6902092689362378,2646.2114775000146,1.1171257150085865,1512.7793460000703,3.4088535970344807,1349.7060998998677,3.0796589031414467,1.052787484064691,1.3131483914847328,1.8415761234885468,3.4780269810541165,2.0640777454491976,3.1560557337638824,99.01193231820116
liquid-c,72.97735793123067,0.2995663353159593,74.24245569250161,4.008807385800786,46.42624210227279,0.8132241762540556,53.02992871652368,12.906491965533187,0.9829599149237367,4.019984657396788,1.5718988793120103,0.8666449965809074,1.3761541774143766,12.909968042006431,99.78524335556186
liquid-compile,72.83757330465129,0.1680763666598144,62.64188522788499,1.8402970419427858,50.33849132645244,0.5309449913351525,38.804759280342495,1.2656386062129057,1.1627615139562832,1.8479564030606708,1.4469558261547615,0.5569131430065639,1.8770268043267815,1.2767500720838478,99.94749280239633
liquid-render,169.9943177093087,0.22513042664654048,175.20522519163694,1.402981189641571,64.30939496389189,0.2647260940403013,69.76742628651778,7.144673474906817,0.9702582644060493,1.4209292478832753,2.6433823208064116,0.347510595331837,2.4365857644107947,7.148219552590637,99.90924393953543
lobsters,1227.9366568001933,0.3796329409066668,1221.2951810501181,0.3705269452009556,729.2037180995976,0.4516739002861435,708.4492036000029,0.5471728437958802,1.0054380594086718,0.5304822211360121,1.6839418482401056,0.5900258316558199,1.733274101460488,0.6659724399771476,98.94435795157945
mail,149.80422614360765,0.23954834736369898,165.42071414690938,3.2603684217726103,98.91385005172936,0.3751468082007673,119.25988611220396,5.918959542710507,0.9055953295581061,3.269156719464012,1.5144919145828815,0.44510508694902895,1.256115790708256,5.923804983198591,99.87015542646438
psych-load,2368.223196900726,0.016033552997765314,2385.880781600008,0.04738982368972439,1611.6175659000874,0.03828043560704811,1454.6164064999175,0.030600941732267253,0.9925991336887167,0.050028693877367136,1.4694697098179585,0.041502609219150374,1.62807403128301,0.03454696016487941,99.99792247022357
