bench,CRuby 3.4.7 (ms),CRuby 3.4.7 RSD,CRuby 4.1.0dev (ms),CRuby 4.1.0dev RSD,YJIT 3.4.7 (ms),YJIT 3.4.7 RSD,YJIT 4.1.0dev (ms),YJIT 4.1.0dev RSD,CRuby 4.1.0dev spd,CRuby 4.1.0dev spd RSD,YJIT 3.4.7 spd,YJIT 3.4.7 spd RSD,YJIT 4.1.0dev spd,YJIT 4.1.0dev spd RSD,% in YJIT
activerecord,247.40815403427592,0.06898770374863208,222.79722509222034,0.056473634784752924,117.1103556262184,0.15440908984054746,102.73178978092974,0.4362856797024282,1.11046335488186,0.08915477942494547,2.112606974091425,0.16911969221204043,2.4082920638476275,0.4417063476812607,99.94552358484134
chunky-png,707.3542976842011,0.045979717074242143,695.2778052820157,0.08348254466186454,305.39195397966756,0.07327484109246918,319.30788720460026,0.10243635572059868,1.0173693052049706,0.09530723815874408,2.3162178586122657,0.08650628138669449,2.215273490037393,0.11228241783798737,99.99736872685392
erubi-rails,942.5852603703283,0.08517591216343201,887.1919127585866,0.08666414481779981,637.4549452997599,0.08775426789223578,572.2538774998611,0.06299248092048695,1.0624367138779531,0.1215138264144178,1.4786696178615142,0.12229369381196634,1.6471452574308805,0.10593860800194893,99.61118883861704
hexapdf,2048.699987300097,0.258954463131164,1884.3054240906813,0.9505706264747339,1275.3469367000434,2.7397256096963005,1153.5850418999871,2.3156179573866695,1.0872441171731744,0.9852116168073322,1.6063864101176282,2.7519363783345927,1.7759418793484267,2.3300523467396954,98.69402783902369
liquid-c,44.605923446122326,0.4695494006158832,44.315861748486896,1.2550643764913822,33.99361296876709,0.5989482447353297,33.31731372411854,1.1167161133086505,1.0065453245450053,1.3400235926118753,1.312185423982608,0.761062178465247,1.338821125120658,1.2114171524879092,99.79493166996187
liquid-compile,44.93287782952256,2.1877954640413586,37.09015896764078,1.980962256113698,35.543656525763105,2.3250547920098037,28.66609949051714,0.90275967275186,1.2114501280170877,2.951382803471453,1.2641602530947784,3.192542682303197,1.567456983269961,2.3667327730918393,99.95047621540556
liquid-render,121.92175011159259,0.2851603622436474,117.57370405572885,0.17376083183692487,52.50797216314675,0.2109737515949801,51.3710864915805,0.2859225757952834,1.0369814499830914,0.33393002092592433,2.321966457450905,0.3547201094623599,2.3733535425919996,0.4038169777811945,99.91384832393517
lobsters,853.2742394667972,0.7240196147351458,826.5058701611364,0.4524335485937405,597.4461481002436,1.1573527292797918,576.8362644001172,0.613705571689228,1.032387391635152,0.853756709147491,1.4282027630105818,1.365162899617702,1.479231269126539,0.9491253506484963,99.4723186465829
mail,106.52776836461652,0.15349299947975395,105.02629388968565,0.1916595214399952,73.92340989829117,0.33113962422645926,73.00554619556026,0.2977586644139682,1.0142961768841234,0.24554729289466773,1.4410559322301912,0.3649843169536636,1.459173637017387,0.33499301951366367,99.88226902870906
psych-load,2079.194649100009,0.07121729063409662,1905.1740060908328,1.1075999320438397,1164.0600782999968,0.053917999769052434,1150.8787981994828,1.5356383387341703,1.0913410756460213,1.1098871618091544,1.7861575084135541,0.08932554609044897,1.806614781984732,1.537288850501266,99.99784243228352
railsbench,1992.1189003633283,0.0758396046373518,2006.6924469001606,1.8572141045407056,1181.566893499803,0.10422452564385291,1096.4380697998422,0.2330628942242219,0.9927375285837424,1.8587619201329915,1.6859975608005306,0.12889684781729918,1.816900521090986,0.24509173445002322,99.69904950269598
rubocop,140.77055310194604,0.5441480755433977,136.00494515421644,0.5308099886441697,85.8860632091535,0.9000437556324045,85.60363592932651,0.8215753385737323,1.0350399608067622,0.7601686471842988,1.6390383706275535,1.0517489672780604,1.6444459580918358,0.9854355205035621,99.6215451332966
ruby-lsp,131.82190331982028,0.2674590405894996,129.97584275238304,0.21658664382056783,90.29209018145104,0.20680680727700976,91.09185669308071,0.0988469337341122,1.014203105195126,0.34415710464047244,1.459949626317332,0.3380878494255093,1.4471315889846539,0.285140412256298,99.68527973780121
sequel,46.482764937627365,0.2666311681834997,43.218923568122634,0.5189534163703642,37.7571594455816,0.5646310830107664,36.23489696274262,0.34412077432014104,1.0755188028771747,0.5834422235400607,1.2310980386281904,0.6244200827558388,1.2828176380747487,0.4353289413369977,99.36696695042197
shipit,1574.99951823103,2.1758177356054804,1479.421019399403,1.8810484825570046,1001.140932799899,0.2735215191126161,830.5154156001663,3.7493355266649906,1.064605340588191,2.876199960417455,1.5732045975047848,2.192942507224718,1.8964121419623106,4.3349394125048155,99.68969780726286
addressable-equality,590.4992527391543,0.12452215718738067,584.5621973403081,0.48617230855727045,388.147653535717,0.0517291884852261,398.0876203459747,0.07003246919588071,1.010156413510588,0.5018658000287571,1.5213263492904694,0.1348394473881393,1.4833399044812199,0.1428646715331356,99.92146090344743
addressable-getters,150.67965694890097,0.3114763186346475,139.48761611374064,0.14675088469584424,104.49061967087397,0.1969350091604181,98.93310240702186,0.1714278249197442,1.0802368062985186,0.34431572608465827,1.4420400359717829,0.3685117296684142,1.523045909638899,0.35553480311624475,99.85122469793484
addressable-join,289.8672754545076,0.0970035944327423,272.8827234664918,0.10031750987577939,209.97927577437983,0.0978162387520997,200.74960623012885,0.09787452156258364,1.0622412139993955,0.1395467667864399,1.3804565921351517,0.13775962360749872,1.443924503255159,0.13780101343595627,99.84885948219372
addressable-merge,152.52036639067987,0.10038661444991125,149.1864347970357,0.13690975221897897,92.56476252926238,0.1727277693470083,94.21090173979883,0.20942875179329395,1.0223474178344694,0.16976970463948315,1.6477152020183037,0.19978076650245497,1.6189248120342379,0.2322452893783042,99.87167336499168
addressable-new,72.29679201461805,0.2884670315870762,70.32966358766829,0.24316246032449695,45.23355683680686,0.37064443786745316,45.11030407639493,0.3334941034724162,1.027970110001986,0.37728134120801915,1.5982999584898803,0.4696706586904696,1.6026669182318616,0.4409439254185615,99.86776827568703
addressable-normalize,332.7174284768473,0.09177700318313636,328.5792212066543,0.093214684050525,219.2092717126505,0.10863402109719919,224.21776538097524,0.07871151625262794,1.01259424517167,0.13081282672550357,1.5178072801272224,0.14221240752136977,1.48390306143457,0.12090707631923425,99.85681674230344
addressable-parse,229.34504851591123,0.11246264655962605,218.12629945087335,0.4143770578108451,157.4574966312085,0.11919314514450559,150.5062395200063,0.19168439059754344,1.0514323540686326,0.4293672005535214,1.4565521072208791,0.16387450296075512,1.5238241899295155,0.22224030343289888,99.85406704891514
addressable-setters,131.8248430358872,0.12311328534543554,128.81456992100107,0.1446896566798882,84.7138786810463,0.21891659596564933,87.06458029498778,0.1968470191768675,1.0233690421567394,0.18997888771832136,1.5561186087608736,0.25116002272999977,1.5141041579623422,0.23217586004441693,99.85734176460413
addressable-to-s,149.48389847957662,0.1527717918625554,139.19475732233417,0.28017402678866876,106.06781230038,0.16161211854001933,99.27085207533626,0.1278536720844669,1.0739190279517197,0.3191186388725573,1.4093238583656644,0.22239086592728852,1.50581863008624,0.19921290584291562,99.84868014016479
binarytrees,304.21160580852575,0.03974272674774906,283.51219791100914,2.1369268663429763,130.914917927718,0.09103647399456317,130.4664435164644,0.2938139314715515,1.0730106431047242,2.1372964035032105,2.323735221500807,0.09933339784135559,2.3317229902885743,0.29648964679414325,99.99569970680844
blurhash,295.1574513714037,0.033598780120631444,279.4545366020244,0.053123922329707696,146.27904983231167,0.03715913127416039,146.26757163461707,0.040371972824640404,1.0561913038174866,0.0628572123887733,2.0177698153615307,0.05009669712311205,2.017928157778678,0.05252403464460857,99.99461017434993
erubi,166.25258647726778,0.10829381241933791,151.66871034725867,0.6819488305874893,125.85891659582944,0.13885737754101607,120.58081115151712,1.739953429000421,1.096156129346772,0.6904938503331937,1.320944045713936,0.17609350103249985,1.3787648705428037,1.7433202473724203,99.98550622129974
etanni,218.76949363919485,0.263331666682971,277.72736791257114,0.33344112710438756,178.60245492374816,0.08283865859412626,241.43127101357095,0.05602519955293088,0.7877131277464298,0.4248841629464149,1.224896341612972,0.2760539984055756,0.9061356994922904,0.26922553679578215,99.98407976949235
fannkuchredux,416.2276322202374,0.11309659635803061,418.62637083581086,0.11227849959713311,103.84488715438134,0.09548262978729333,107.69977544136808,0.345344709468222,0.9942699772812108,0.15936530858237222,4.008166830606222,0.1480127450555141,3.8647028790401925,0.36339208641006754,61.84666521400866
fluentd,388.8987104722016,0.09020476989717889,337.3549299047855,0.058844424341440965,311.55685595360916,0.07631537172661863,284.1516000188213,0.14048977493431505,1.1527879867709767,0.10770128498898497,1.2482431474084097,0.11815640682576198,1.3686310773771544,0.1669559144603673,99.97211539948512
graphql,65.88786117992842,0.45728442064079494,53.530956821848235,0.27926695837106136,36.1490828228236,0.5453701595283664,23.572823192405455,0.8488841509614558,1.2308366054282223,0.5358162701884028,1.8226703427819342,0.7117145862386013,2.7950772227043115,0.9642164399730692,99.98654815466607
graphql-native,324.5041589998953,0.09527553218875212,233.50200645965683,0.04565418620530414,289.940657425716,0.07631255068909377,180.06737037068166,0.11444179433212857,1.389727497078109,0.1056490972603104,1.1192088818486405,0.12206978506790879,1.8021263837633665,0.14891054806093204,99.98036077480813
knucleotide,131.1507220311796,2.1289691760180323,136.06061973624256,3.881822236091427,132.19767729773838,1.8560171968055836,135.12745244647053,2.2321271116386168,0.9639138957724805,4.4273077174563715,0.9920803807755201,2.8244131403307406,0.9705705218052101,3.0846233473387077,31.142597523956397
lee,904.097042379237,1.2144968221403278,924.9850499999671,0.29396368318635174,600.9522567997919,1.6476595153303981,616.9035530999281,0.37930571784215245,0.977418005165888,1.2495667961423433,1.5044407141322014,2.046896286929985,1.4655403390629982,1.2723503285560567,99.97347199120323
matmul,439.5459127188701,0.30132500676593094,462.39924003317964,0.290244927387159,188.94102491779225,0.2567429597487241,188.83365835777406,1.630157869623476,0.9505766330570317,0.4183764782781957,2.3263656630957485,0.39587082120689737,2.3276883821531626,1.657773036213896,99.82000766001555
nbody,73.96759054115235,0.1144050732286644,73.33784517284046,0.09761351771374906,45.19973848050763,0.11710774491985858,44.15886032592279,0.09686865807217566,1.0085869085303465,0.1503892270773025,1.6364605864489867,0.16371543818672302,1.6750339568372148,0.1499068300550717,99.82437657610451
nqueens,193.67763283994768,0.08211936112838804,183.1978051950672,0.1214755098750155,50.3648964181475,0.09752660922263595,50.23287146298875,0.11186763162885871,1.0572049847088598,0.14662840438172134,3.845488556790949,0.12749521159086463,3.855595493533514,0.13877303945069677,96.99789403030755
optcarrot,4444.346118000249,0.22481390780477523,4103.977710200343,0.16864567615010612,1432.3502235005435,1.0494009193084584,1494.942913899979,1.0145086665280887,1.0829362223274088,0.2810385333483301,3.1028347991168252,1.0732118069551282,2.972920287909805,1.0391194000705861,99.4893042741261
protoboeuf,135.08164738991456,1.3848279557838565,123.81161396633387,0.1186900777220545,36.02576993218973,0.0993906368882039,33.088920102905746,0.11028408587806968,1.0910256563382268,1.389904961380512,3.7495839129649373,1.3883900625622245,4.082383074751726,1.389212383589513,99.99117875211266
protoboeuf-encode,126.61148590953825,1.3140875666430862,117.21026243023255,1.5009194992698056,35.01411193050327,4.547813375514122,36.04721914093547,2.5753945841948362,1.0802081940982056,1.994889840591272,3.616013056702376,4.733860225155692,3.5123787334196157,2.891277122156581,99.98913419990905
rack,56.80325492748254,0.43373245963715923,53.562667287754024,0.49410978831269653,35.27359939873236,0.5855248452589926,35.055325949071616,0.2822948098848112,1.0605008638259024,0.6574711624469303,1.6103617406712372,0.7286722109141168,1.6203887252398201,0.5175076871224249,99.88956412367509
ruby-json,250.50490034777994,0.20345341937619119,200.2842852275629,0.12177092996381376,205.62466887505101,0.13865154439315144,164.86612108333225,0.09844617150593944,1.2507466577477928,0.2371106350211149,1.2182628753556834,0.24620630499333357,1.5194443752404487,0.2260197835147206,99.98319549849388
rubyboy,4383.862975900047,0.3570159285922299,4350.534992699795,0.12181986314720461,1499.4556028997977,0.1360629771483815,1545.7305076998637,0.13086416352278774,1.0076606631727307,0.37722732181772817,2.923636396717644,0.38206479426800527,2.836110792963185,0.38024439846379215,99.99823412147013
