bench,CRuby 3.4.7 (ms),CRuby 3.4.7 RSD,CRuby 4.0.0dev (ms),CRuby 4.0.0dev RSD,YJIT 3.4.7 (ms),YJIT 3.4.7 RSD,YJIT 4.0.0dev (ms),YJIT 4.0.0dev RSD,CRuby 4.0.0dev spd,CRuby 4.0.0dev spd RSD,YJIT 3.4.7 spd,YJIT 3.4.7 spd RSD,YJIT 4.0.0dev spd,YJIT 4.0.0dev spd RSD,% in YJIT
activerecord,243.43575711742125,0.0627410919005125,223.71450779997897,0.3152549867232212,120.03274694989159,0.1805491485195182,108.40195066087607,1.1478862002438088,1.0881536450692544,0.32143763200149256,2.028077864610105,0.19113984316199384,2.2456769055658787,1.1495995708606705,99.94468181707636
chunky-png,708.715307921047,0.044840736631994484,693.3176669231333,0.05247524615813603,306.2650543542986,0.06917471884477079,319.0490469318402,0.09438206815773606,1.0222086378762665,0.0690242212636757,2.3140586816711357,0.08243684485078853,2.221336546015299,0.10449242293789263,99.9973656964438
erubi-rails,959.864662073987,0.09838554109842611,909.1814950357469,0.09187647215227432,627.4166780007363,0.10567976091546159,605.2119752999715,0.09215470981481061,1.0557459289646534,0.1346142668233116,1.5298679421984709,0.14438811088306133,1.5859974707179794,0.13480432203116502,99.61208838307405
hexapdf,2104.8578033000013,0.8418410863473424,1914.3637619090441,0.8700249317202242,1245.9273210009997,3.097494748305781,1159.0509985999233,2.482935111039534,1.099507755621634,1.2106361123299,1.6893905188698501,3.2098551572375302,1.8160182820622786,2.6217671865166396,97.5436527063951
liquid-c,44.93668011456418,0.4443765029042543,45.05423574130883,0.7160213229350602,33.94742033852716,0.7190318244774254,34.429985906052146,1.0807238321305248,0.9973907974508851,0.8427081411918887,1.3237141339887095,0.8452675558335063,1.3051611533382927,1.1685180690380024,99.79455752403963
liquid-compile,45.38587238110173,1.8606567971537091,38.41106949618368,1.8074877206827609,35.44938613081028,4.09589779584089,29.724491965398308,0.9456882282216162,1.1815831471605087,2.594042323712792,1.280300657777972,4.498713423943402,1.526884712914001,2.0871918794857454,99.95394247723037
liquid-render,122.19351508713835,0.13041736686140176,117.91574486004538,0.1870158109552161,52.153375455250384,0.18235509582518752,53.97910665539739,0.3766135642886561,1.036278193655735,0.22799912966127434,2.3429646503318873,0.2241920394493854,2.263718735977269,0.39855547466477886,99.91382209557628
lobsters,853.2836373999695,0.77826755911081,838.9401211932108,0.5926997403428755,596.5416139000808,1.469742494474611,593.6617233999641,0.7427675517351792,1.017097187086914,0.9782603823966349,1.4303840964611938,1.6630824975414626,1.4373229800181877,1.0758271373575636,99.48145775912337
mail,105.95081237047877,0.2380426375112181,106.86523800003393,3.5162051064011304,73.67205458310347,0.3395636656172559,75.57720536630747,0.3548245177948643,0.9914431891355086,3.524253487982197,1.4381411373693163,0.4146899809263841,1.4018884643452554,0.42727594795594936,99.88215723700446
psych-load,2044.756905399845,0.06838210595818761,1938.255143545658,0.9558823746381989,1143.6081247997208,0.03760301184536316,1186.2796213001275,1.834166197361704,1.0549472355117102,0.9583252196197483,1.7879873892623328,0.07803908581678363,1.723671947730883,1.8354404790021306,99.99785474658164
