bench,CRuby 3.4.7 (ms),CRuby 3.4.7 RSD,CRuby 4.1.0dev (ms),CRuby 4.1.0dev RSD,YJIT 3.4.7 (ms),YJIT 3.4.7 RSD,YJIT 4.1.0dev (ms),YJIT 4.1.0dev RSD,CRuby 4.1.0dev spd,CRuby 4.1.0dev spd RSD,YJIT 3.4.7 spd,YJIT 3.4.7 spd RSD,YJIT 4.1.0dev spd,YJIT 4.1.0dev spd RSD,% in YJIT
activerecord,241.22100815843623,0.05663723079294756,223.5193471308286,1.667616684300316,114.71382876895387,0.1363808221602706,98.8297823026937,0.8776031768124513,1.0791952072821984,1.6685781916556002,2.1028067038393563,0.1476736420794346,2.4407724325409297,0.8794288554870143,99.94522329658459
chunky-png,708.7091489736754,0.10338683131976031,728.9154810267162,0.0505627480034018,301.86040535996653,0.06586705837232562,315.34734555550835,0.09929628652067757,0.9722789094497224,0.11508878475332027,2.347804271078694,0.12258591382766587,2.2473921501550307,0.14334779177628465,99.99733844571479
erubi-rails,945.0749454814219,0.09318143753926797,850.3472116000315,0.16500476669708952,610.7952476000719,0.16422778808383215,524.2035199000384,0.1176428758749393,1.1113988881120085,0.18949763411358317,1.5472860163774966,0.1888214677434549,1.8028779083010364,0.1500754028680612,99.61321080559551
hexapdf,2047.7679472998716,0.6421281002504616,1958.6919006363712,0.7077629053228593,1236.4506764002726,3.2423528587410297,1112.4355506998654,2.805684749952084,1.0454773140352294,0.9556447181261045,1.6561663043944614,3.3053260894679353,1.8407969306730276,2.8782278251113054,99.7595073336994
liquid-c,44.05678433145301,0.6330003978252129,42.312254348011244,4.25244648712614,33.65386289414389,0.7908816363218414,31.28763604079987,9.270483419533052,1.0412298992413238,4.299301179205561,1.3091152260895236,1.0130070415934884,1.4081212231567077,9.292069324724398,99.79570897148338
liquid-compile,44.12875462371934,2.221328354781733,33.64721669753364,6.194928745885775,34.612407102945234,3.5752199172849113,24.236449591233,8.939767809187916,1.311512777428452,6.581142896667662,1.274940355707429,4.209096947886571,1.8207598624380172,9.21160942191699,99.96212357300676
liquid-render,120.71305493440914,0.2741759276872711,118.42614232534241,2.0016250285705226,51.116496861979286,0.589121544885826,48.758162354560945,5.89928865517412,1.0193108765021164,2.020315617502157,2.361528319523714,0.649797379166643,2.4757507072683467,5.905656532206157,99.90861580225209
lobsters,845.6500490002884,0.7834348639851287,791.2866799394551,0.3716952014130297,588.0264772000373,1.006478195527616,552.6855156000238,0.6984015104671987,1.0687024948593762,0.8671375374534711,1.4381155981733311,1.2754483698605457,1.5300745634381376,1.0495403069583664,99.514458700543
mail,104.51737693616863,0.16587369569717983,98.06745035874644,2.564491003332319,72.30643911846303,0.43730667553824815,64.53735286649118,4.234539151722965,1.0657703096575604,2.5698498378498003,1.445478137361085,0.46770846838020286,1.6194865809321988,4.237786675895671,99.88444960216952
psych-load,2013.7711150998257,0.04829289701329769,1880.8572565453273,0.9384155439245316,1110.253467900111,0.09652279055223212,1064.5878935001747,0.38183083389997985,1.0706666378280234,0.9396573508365225,1.8137940329144766,0.10792985220932645,1.8915968586481913,0.38487269274227676,99.99778901027402
railsbench,1945.4502913636547,0.05385336079117267,1915.4789487271375,0.8155905502823122,1166.6076604999946,0.0751818180306396,1030.3225394000037,0.1960555887845046,1.0156469183106573,0.8173665824942375,1.6676131635633673,0.0924796746906931,1.8881954116004926,0.20331743250922427,99.71449162013457
rubocop,139.71551305289373,0.5368599137119212,136.08176023821233,6.527119205225774,84.75573822996778,0.9060924239528895,83.04468120005713,8.24307170211172,1.0267027176038912,6.549160532936868,1.6484490132550504,1.053196110748418,1.6824137444313245,8.2605356759175,99.61558885653555
ruby-lsp,135.6854821574079,0.2119032974192014,128.97935171482106,0.5842909924976656,89.34792895780114,0.11245200325641319,90.95206895324199,2.4486024503374706,1.051993829658986,0.6215295418329184,1.5186192197190367,0.2398926019982919,1.4918350260637077,2.4577544562579465,99.68659688920827
sequel,44.24579599110199,0.48876603944873237,40.498215706529834,2.934852851342913,37.258783250055984,0.5747148153993503,32.50358679133986,3.2081453808157985,1.0925369233975388,2.975273684949676,1.187526594579159,0.7544463932963753,1.3612588750633108,3.2451639443590743,99.4177416330964
shipit,1552.5230587999733,1.3193287444009625,1437.0064691245261,0.8954333497341815,895.8541857000455,3.8869048386262293,803.1113944999561,4.2744607303477595,1.0803869656521616,1.5944996768951687,1.7330086565223652,4.104711629376491,1.9331353899749186,4.473437478169078,99.66020199477472
addressable-equality,584.184580935974,0.070113160157169,550.0105169803282,0.3205910833922787,381.1399112067914,0.06453929869957727,343.6900087368294,0.4173429514349779,1.0621334736347743,0.32816839881051896,1.5327300126777295,0.0952952060906428,1.6997426927917954,0.4231914393506598,99.9210121345013
addressable-getters,145.95521674132374,0.10421100252574624,132.94269211766064,0.29271910338888146,102.12100377049835,0.14158354655432678,86.75356492242803,0.16348997905757756,1.0978807064637024,0.3107159579683859,1.4292379760517848,0.1758005509158669,1.6824117472501763,0.19387858649079387,99.85807908642998
addressable-join,281.29111953917436,0.1581903788547245,252.88003478062979,0.13695838585890832,201.97390927258843,0.07828960306380285,169.9960100080687,0.8344015258570904,1.112350050818329,0.20924099841875846,1.392710180004179,0.17650342180844278,1.6546924808754224,0.8492644478104814,99.8558416397694
addressable-merge,150.61618795882214,0.09115024140785866,144.07847720589612,0.13152839234757552,90.66454165479358,0.17192111802382584,81.43230672646021,0.1900518092913482,1.0453760400561651,0.1600252620752382,1.6612468911197416,0.194589920939583,1.8495876392739057,0.21077964020186085,99.87601915080621
addressable-new,70.79255184964977,0.2810356485123874,68.12958703217453,0.30042954605141114,44.057903491276306,0.19875983549678478,39.954545188624515,0.3654905485275181,1.0390867600036624,0.4113866160625977,1.6068070933894316,0.344218692028029,1.7718272480750241,0.46104704401798763,99.87263404905546
